[   0.004] info  | Outpost: Frontier starting
[   0.004] info  | config: Outpost.json
[   0.004] info  | user settings: C:\Users\zwali\AppData\Local\Outpost.Frontier\Settings.json
[   0.004] info  | mode: host (self test)
[   0.004] info  | server: port 7777, max sessions 8
[   0.004] info  | universe: GameData/Universe/Frontier.json
[   0.004] info  | economy: GameData/Economy/Economy.json
[   0.004] info  | content: 10 meshes from C:\Users\zwali\source\repos\Outpost.Frontier\x64\Debug\GameData/Meshes
[   0.004] info  | window: 1600x900 windowed, vsync on, ui scale 1.00
[   3.529] info  | universe: read, parsed and hashed in 3525 ms (R17's threshold is ~1000 ms)
[   3.529] info  | universe: 'Frontier' from C:\Users\zwali\source\repos\Outpost.Frontier\x64\Debug\GameData/Universe/Frontier.json (2500 system(s), hash ad9555dd776008a6)
[   3.529] info  | start: system 1 'Vesta-3', grid anchored at (-734132574593023943, -731859766588080745)
[   3.531] info  | economy: read, parsed and hashed in 2 ms from C:\Users\zwali\source\repos\Outpost.Frontier\x64\Debug\GameData/Economy/Economy.json
[   3.531] info  | content: universe ad9555dd776008a6, economy 0b07707ec843431d, mixed 1965b853a23a5115
[   3.531] info  | persistence is off: this shard keeps nothing across a restart
[   3.532] info  | parked fleet: 40 hulls, tightest cross-wing clearance 90.3 m (LANTERN to ECHO)
[   3.532] info  | self test: starting (schema, wire round-trips, replay determinism, the tick soak, then the QUIC loopback loop)
[   3.532] info  | self test: schema hash is nonzero -- ok
[   3.532] info  | self test: schema hash is stable -- ok
[   3.532] info  | self test: the simulation states the game's schema -- ok
[   3.532] info  | self test: the simulation states a content hash -- ok
[   3.533] info  | self test: an order round-trips the wire byte-exactly -- ok
[   3.533] info  | self test: a snapshot fits the datagram cap -- ok
[   3.533] info  | self test: a snapshot round-trips emit -> bytes -> apply in integers -- ok
[   3.543] info  | self test: replay determinism holds at the checkpoint -- ok
[   3.543] info  | self test: replay determinism holds at the end -- ok
[   3.543] info  | self test: the world hash notices a one-metre change -- ok
[   3.543] info  | self test: replay hash 69c58e2751c0df22 (checkpoint fa56d9f638cba0fe)
[   3.544] info  | self test: the bake pairs a gate with one that leads back -- ok
